Frame,Distance,Obj1_Dir_X,Obj1_Dir_Y,Obj1_Dir_Z,Obj2_Dir_X,Obj2_Dir_Y,Obj2_Dir_Z,Mode,Room
1,4.000312,0,0,0,0,0,0,0,1
2,4.000312,0,0,0,0,0,0,0,1
3,4.000703,0,0,0,0,1,0,0,1
4,4.000703,0,0,0,0,0,0,0,1
5,4.000703,0,0,0,0,0,0,0,1
6,4.000703,0,0,0,0,0,0,0,1
7,4.000703,0,0,0,0,0,0,0,1
8,4.000703,0,0,0,0,0,0,0,1
9,4.000703,0,0,0,0,0,0,0,1
10,4.000703,0,0,0,0,0,0,0,1
11,4.000703,0,0,0,0,0,0,0,1
12,4.000703,0,0,0,0,0,0,0,1
13,4.000703,0,0,0,0,0,0,0,1
14,4.000703,0,0,0,0,0,0,0,1
15,4.000703,0,0,0,0,0,0,0,1
16,4.000703,0,0,0,0,0,0,0,1
17,4.000703,0,0,0,0,0,0,0,1
18,4.000703,0,0,0,0,0,0,0,1
19,4.000703,0,0,0,0,0,0,0,1
20,4.000703,0,0,0,0,0,0,0,1
21,4.000703,0,0,0,0,0,0,0,1
22,4.000703,0,0,0,0,0,0,0,1
23,4.000703,0,0,0,0,0,0,0,1
24,4.000703,0,0,0,0,0,0,0,1
25,4.000703,0,0,0,0,0,0,0,1
26,4.000703,0,0,0,0,0,0,0,1
27,4.000703,0,0,0,0,0,0,0,1
28,4.000703,0,0,0,0,0,0,0,1
29,4.000703,0,0,0,0,0,0,0,1
30,4.000703,0,0,0,0,0,0,0,1
31,4.000703,0,0,0,0,0,0,0,1
32,4.000703,0,0,0,0,0,0,0,1
33,4.000703,0,0,0,0,0,0,0,1
34,4.000703,0,0,0,0,0,0,0,1
35,4.000703,0,0,0,0,0,0,0,1
36,4.000703,0,0,0,0,0,0,0,1
37,4.000703,0,0,0,0,0,0,0,1
38,4.000703,0,0,0,0,0,0,0,1
39,4.000703,0,0,0,0,0,0,0,1
40,4.000703,0,0,0,0,0,0,0,1
41,4.000703,0,0,0,0,0,0,0,1
42,4.000703,0,0,0,0,0,0,0,1
43,4.000703,0,0,0,0,0,0,0,1
44,4.000703,0,0,0,0,0,0,0,1
45,4.000703,0,0,0,0,0,0,0,1
46,4.000703,0,0,0,0,0,0,0,1
47,4.000703,0,0,0,0,0,0,0,1
48,4.000703,0,0,0,0,0,0,0,1
49,4.000703,0,0,0,0,0,0,0,1
50,4.000703,0,0,0,0,0,0,0,1
51,4.000703,0,0,0,0,0,0,0,1
52,4.000703,0,0,0,0,0,0,0,1
53,4.000703,0,0,0,0,0,0,0,1
54,4.000703,0,0,0,0,0,0,0,1
55,4.000703,0,0,0,0,0,0,0,1
56,4.000703,0,0,0,0,0,0,0,1
57,4.000703,0,0,0,0,0,0,0,1
58,4.000703,0,0,0,0,0,0,0,1
59,4.000703,0,0,0,0,0,0,0,1
60,4.000703,0,0,0,0,0,0,0,1
61,4.000703,0,0,0,0,0,0,0,1
62,4.000703,0,0,0,0,0,0,0,1
63,4.000703,0,0,0,0,0,0,0,1
64,4.000703,0,0,0,0,0,0,0,1
65,4.000703,0,0,0,0,0,0,0,1
66,4.000703,0,0,0,0,0,0,0,1
67,4.000703,0,0,0,0,0,0,0,1
68,4.000703,0,0,0,0,0,0,0,1
69,4.000703,0,0,0,0,0,0,0,1
70,4.000703,0,0,0,0,0,0,0,1
71,4.000703,0,0,0,0,0,0,0,1
72,4.000703,0,0,0,0,0,0,0,1
73,4.000703,0,0,0,0,0,0,0,1
74,4.000703,0,0,0,0,0,0,0,1
75,4.000703,0,0,0,0,0,0,0,1
76,4.000703,0,0,0,0,0,0,0,1
77,4.000703,0,0,0,0,0,0,0,1
78,4.000703,0,0,0,0,0,0,0,1
79,4.000703,0,0,0,0,0,0,0,1
80,4.000703,0,0,0,0,0,0,0,1
81,4.000703,0,0,0,0,0,0,0,1
82,4.000703,0,0,0,0,0,0,0,1
83,4.000703,0,0,0,0,0,0,0,1
84,4.000703,0,0,0,0,0,0,0,1
85,4.000703,0,0,0,0,0,0,0,1
86,4.000703,0,0,0,0,0,0,0,1
87,4.000703,0,0,0,0,0,0,0,1
88,4.000703,0,0,0,0,0,0,0,1
89,4.000703,0,0,0,0,0,0,0,1
90,4.000703,0,0,0,0,0,0,0,1
91,4.000703,0,0,0,0,0,0,0,1
92,4.000703,0,0,0,0,0,0,0,1
93,4.000703,0,0,0,0,0,0,0,1
94,4.000703,0,0,0,0,0,0,0,1
95,4.000703,0,0,0,0,0,0,0,1
96,4.000703,0,0,0,0,0,0,0,1
97,4.000703,0,0,0,0,0,0,0,1
98,4.000703,0,0,0,0,0,0,0,1
99,4.000703,0,0,0,0,0,0,0,1
100,4.000703,0,0,0,0,0,0,0,1
101,4.000703,0,0,0,0,0,0,0,1
102,4.000703,0,0,0,0,0,0,0,1
103,4.000703,0,0,0,0,0,0,0,1
104,4.000703,0,0,0,0,0,0,0,1
105,4.000703,0,0,0,0,0,0,0,1
106,4.000703,0,0,0,0,0,0,0,1
107,4.000703,0,0,0,0,0,0,0,1
108,4.000703,0,0,0,0,0,0,0,1
109,4.000703,0,0,0,0,0,0,0,1
110,4.000703,0,0,0,0,0,0,0,1
111,4.000703,0,0,0,0,0,0,0,1
112,4.000703,0,0,0,0,0,0,0,1
113,4.000703,0,0,0,0,0,0,0,1
114,4.000703,0,0,0,0,0,0,0,1
115,4.000703,0,0,0,0,0,0,0,1
116,4.000703,0,0,0,0,0,0,0,1
117,4.000703,0,0,0,0,0,0,0,1
118,4.000703,0,0,0,0,0,0,0,1
119,4.000703,0,0,0,0,0,0,0,1
120,4.000703,0,0,0,0,0,0,0,1
121,4.000703,0,0,0,0,0,0,0,1
122,4.000703,0,0,0,0,0,0,0,1
123,4.000703,0,0,0,0,0,0,0,1
124,4.000703,0,0,0,0,0,0,0,1
125,4.000703,0,0,0,0,0,0,0,1
126,4.000703,0,0,0,0,0,0,0,1
127,4.000703,0,0,0,0,0,0,0,1
128,4.000703,0,0,0,0,0,0,0,1
129,4.000703,0,0,0,0,0,0,0,1
130,4.000703,0,0,0,0,0,0,0,1
131,4.000703,0,0,0,0,0,0,0,1
132,4.000703,0,0,0,0,0,0,0,1
133,4.000703,0,0,0,0,0,0,0,1
134,4.000703,0,0,0,0,0,0,0,1
135,4.000703,0,0,0,0,0,0,0,1
136,4.000703,0,0,0,0,0,0,0,1
137,4.000703,0,0,0,0,0,0,0,1
138,4.000703,0,0,0,0,0,0,0,1
139,4.000703,0,0,0,0,0,0,0,1
140,4.000703,0,0,0,0,0,0,0,1
141,4.000703,0,0,0,0,0,0,0,1
142,4.000703,0,0,0,0,0,0,0,1
143,4.000703,0,0,0,0,0,0,0,1
144,4.000703,0,0,0,0,0,0,0,1
145,4.000703,0,0,0,0,0,0,0,1
146,4.000703,0,0,0,0,0,0,0,1
147,4.000703,0,0,0,0,0,0,0,1
148,4.000703,0,0,0,0,0,0,0,1
149,4.000703,0,0,0,0,0,0,0,1
150,4.000703,0,0,0,0,0,0,0,1
151,4.000703,0,0,0,0,0,0,0,1
152,4.000703,0,0,0,0,0,0,0,1
153,4.000703,0,0,0,0,0,0,0,1
154,4.000703,0,0,0,0,0,0,0,1
155,4.000703,0,0,0,0,0,0,0,1
156,4.000703,0,0,0,0,0,0,0,1
157,4.000703,0,0,0,0,0,0,0,1
158,4.000703,0,0,0,0,0,0,0,1
159,4.000703,0,0,0,0,0,0,0,1
160,4.000703,0,0,0,0,0,0,0,1
161,4.000703,0,0,0,0,0,0,0,1
162,4.000703,0,0,0,0,0,0,0,1
163,4.000703,0,0,0,0,0,0,0,1
164,4.000703,0,0,0,0,0,0,0,1
165,4.000703,0,0,0,0,0,0,0,1
166,4.000703,0,0,0,0,0,0,0,1
167,4.000703,0,0,0,0,0,0,0,1
168,4.000703,0,0,0,0,0,0,0,1
169,4.000703,0,0,0,0,0,0,0,1
170,4.000703,0,0,0,0,0,0,0,1
171,4.000703,0,0,0,0,0,0,0,1
172,4.000703,0,0,0,0,0,0,0,1
173,4.000703,0,0,0,0,0,0,0,1
174,4.000703,0,0,0,0,0,0,0,1
175,4.000703,0,0,0,0,0,0,0,1
176,4.000703,0,0,0,0,0,0,0,1
177,4.000703,0,0,0,0,0,0,0,1
178,4.000703,0,0,0,0,0,0,0,1
179,4.000703,0,0,0,0,0,0,0,1
180,4.000703,0,0,0,0,0,0,0,1
181,4.000703,0,0,0,0,0,0,0,1
182,4.000703,0,0,0,0,0,0,0,1
183,4.000703,0,0,0,0,0,0,0,1
184,4.000703,0,0,0,0,0,0,0,1
185,4.000703,0,0,0,0,0,0,0,1
186,4.000703,0,0,0,0,0,0,0,1
187,4.000703,0,0,0,0,0,0,0,1
188,4.000703,0,0,0,0,0,0,0,1
189,4.000703,0,0,0,0,0,0,0,1
190,4.000703,0,0,0,0,0,0,0,1
191,4.000703,0,0,0,0,0,0,0,1
192,4.000703,0,0,0,0,0,0,0,1
193,4.000703,0,0,0,0,0,0,0,1
194,4.000703,0,0,0,0,0,0,0,1
195,4.000703,0,0,0,0,0,0,0,1
196,4.000703,0,0,0,0,0,0,0,1
197,4.000703,0,0,0,0,0,0,0,1
198,4.000703,0,0,0,0,0,0,0,1
199,4.000703,0,0,0,0,0,0,0,1
200,4.000703,0,0,0,0,0,0,0,1
201,4.000703,0,0,0,0,0,0,0,1
202,4.000703,0,0,0,0,0,0,0,1
203,4.000703,0,0,0,0,0,0,0,1
204,4.000703,0,0,0,0,0,0,0,1
205,4.000703,0,0,0,0,0,0,0,1
206,4.000703,0,0,0,0,0,0,0,1
207,4.000703,0,0,0,0,0,0,0,1
208,4.000703,0,0,0,0,0,0,0,1
209,4.000703,0,0,0,0,0,0,0,1
210,4.000703,0,0,0,0,0,0,0,1
211,4.000703,0,0,0,0,0,0,0,1
212,4.000703,0,0,0,0,0,0,0,1
213,4.000703,0,0,0,0,0,0,0,1
214,4.000703,0,0,0,0,0,0,0,1
