Frame,Distance,Obj1_Dir_X,Obj1_Dir_Y,Obj1_Dir_Z,Obj2_Dir_X,Obj2_Dir_Y,Obj2_Dir_Z
1,4.000312,0,0,0,0,0,0
2,4.000312,0,0,0,0,0,0
3,4.000703,0,0,0,0,1,0
4,4.000703,0,0,0,0,0,0
5,4.000703,0,0,0,0,0,0
6,4.000703,0,0,0,0,0,0
7,4.000703,0,0,0,0,0,0
8,4.000703,0,0,0,0,0,0
9,4.000703,0,0,0,0,0,0
10,4.000703,0,0,0,0,0,0
11,4.000703,0,0,0,0,0,0
12,4.000703,0,0,0,0,0,0
13,4.000703,0,0,0,0,0,0
14,4.000703,0,0,0,0,0,0
15,4.000703,0,0,0,0,0,0
16,4.000703,0,0,0,0,0,0
17,4.000703,0,0,0,0,0,0
18,4.000703,0,0,0,0,0,0
19,4.000703,0,0,0,0,0,0
20,4.000703,0,0,0,0,0,0
